workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Pin,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,PinId,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the pin you just observed.",What is your overall impression of the pin?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,"After observing the pin, what is your overall impression of the item shown in the image above?",How much do you think the pin creator favors the item shown in the image above?,How likely do you think there is a relationship between the pin creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the pin you observed states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
306,12,12,1,3,Yes,No,Yes,Yes,Yes,No,About Once A Day,Never,Less Often,Several Times A Day,Several Times A Day,Never,A Few Times A Week,Never,Never,A Few Times A Week,Never,Never,107,119,414823815668000016,19,138,They were very cute pink and white Converse shoes with ribbons for the shoestrings and bejeweled toes and soles.,Extremely Positive,"They're adorable. They're baby/small kid shoes. They're very posh, but cute and reasonable.",70,208,Somewhat Positive,Strongly Favors,Extremely Likely,"It looks like a commercial product page, but I do think the creator is selling this product on that page.",110,339,,,,20,359,1979,Female,Associate's Degree,"Less than $25,000",14,373
307,9,9,4,1,Yes,Not Sure,Yes,No,Yes,No,Several Times A Day,Never,Never,Several Times A Day,Several Times A Day,Never,Several Times A Day,Never,Never,Several Times A Day,Several Times A Day,Never,46,55,697283954778000593,73,128,The pin is about a DIY soap holder for a shower. It seems like a really nice soap holder. It is something I would buy.,Extremely Positive,The reason for my answer is because I really liked the item shown. ,143,271,Extremely Positive,Strongly Favors,Somewhat Likely,I stated this because the username of the person who uploaded the pin is similar to the product name. ,94,630,It means that the person who provided the pin is receiving some form of compensation. ,61,691,32,723,1973,Male,Bachelor's Degree,"$150,000 or more",22,745
308,18,18,1,4,Not Sure,Yes,Yes,No,No,No,Several Times A Day,Less Often,Not Sure,Less Often,Less Often,Not Sure,About Once A Day,Less Often,Never,Never,Never,Never,48,66,1548181098801468,62,128,GRAY SHEET WITH WHITE STRIPES BEING HELD UP BY A PERSON,Somewhat Positive,NOTHING NEGATIVE ABOUT IT.,68,196,Somewhat Positive,Slightly Favors,Neutral,I DON'T SEE ANYTHING TO SHOW FAVOR ONE WAY OR THE OTHER,83,335,,,,38,373,1947,Male,Bachelor's Degree,"$35,000 to $49,999",16,389
309,323,323,3,2,No,Yes,Yes,Yes,Yes,No,Several Times A Day,About Once A Day,Less Often,Less Often,About Once A Day,Never,Less Often,Never,Never,Never,Never,Never,41,364,781374604069700266,26,390,something to do with bird feeders ,Neutral,it just seems very normal ,26,416,Neutral,Somewhat Favors,Neutral,"it seems like a normal ad, i don't see any favoritism between the pin and the ad ",48,495,no idea ,13,509,8,517,1987,Male,High School Graduate,"Less than $25,000",82,599
310,12,12,3,1,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Every Few Weeks,Every Few Weeks,A Few Times A Week,About Once A Day,Never,Every Few Weeks,Never,Never,Never,Never,Never,85,97,697283954778000593,11,108,It was a pretty soap dish.,Somewhat Positive,I like the look of the soap dish.  I thought it was pretty.,53,161,Somewhat Positive,Strongly Favors,Somewhat Likely,I think the pin points to the amazon ad because it is trying to help people who like it.  These people will now know how to purchase it.,106,281,I guess the person who posted the purchase link will get a little bit of money if someone follows that link and purchases.,116,397,26,423,1972,Female,Master's Degree,"$150,000 or more",22,445
311,9,9,3,2,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,Every Few Weeks,A Few Times A Week,Several Times A Day,Several Times A Day,Never,A Few Times A Week,Never,Less Often,A Few Times A Week,Every Few Weeks,Never,48,57,781374604069700266,12,69,IT LOOKS LIKE LOTTERY TICKET OR COUPON.,Somewhat Positive,LOOKS FUN.,31,100,Somewhat Positive,Moderately Favors,Somewhat Likely,IT LOOKDS USEFUL.,40,147,THAT IF I CLICK THERE WILL BE REWARD.,23,170,15,185,1966,Male,Bachelor's Degree,"Less than $25,000",19,204
312,5,5,4,5,No,No,Yes,Yes,Yes,No,About Once A Day,Less Often,About Once A Day,Less Often,About Once A Day,Never,A Few Times A Week,A Few Times A Week,Every Few Weeks,Every Few Weeks,A Few Times A Week,Every Few Weeks,46,51,804314814672700115,5,56,a shark,Neutral,"meh, it was a plastic shark, what am i supposed to think?",46,102,Neutral,Somewhat Favors,Neutral,"kinda cute, not my cupatea",44,152,means they get paid to review and promote it,26,178,14,192,1962,Female,High School Graduate,"Less than $25,000",12,204
313,7,7,5,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,Every Few Weeks,Several Times A Day,Every Few Weeks,A Few Times A Week,A Few Times A Week,About Once A Day,Every Few Weeks,Never,Every Few Weeks,65,74,804314814672700115,10,82,There was no picture that loaded.,Neutral,No image appeared,29,111,Extremely Negative,Does Not Favor At All,Extremely Unlikely,"They are just listing the link to get commissions from referrals, they want to make money.",46,179,They have an affiliate account and receive money when someone buys the product through the link listed.,28,207,16,223,1995,Female,Bachelor's Degree,"$35,000 to $49,999",12,235
314,8,8,3,1,Yes,No,Yes,Yes,Yes,No,Every Few Weeks,Never,A Few Times A Week,A Few Times A Week,Several Times A Day,Never,Less Often,Never,Less Often,Never,Less Often,Never,58,66,697283954778000593,32,98,A bar of high quality soap in a shower soap dish. ,Neutral,"It did not have much, if any, effect on me. ",55,153,Somewhat Positive,Moderately Favors,Somewhat Likely,"I like the soap dish, but not so much as to want one. The poster seems to think it is great, and probably gets a kickback for the post. ",86,251,"""Affiliate Link""  - which means the pin poster has an affiliate account with the manufacturer. ",57,308,34,342,1949,Male,Some College,"$25,000 to $34,999",16,358
315,52,52,1,4,Yes,No,Yes,Yes,Yes,No,About Once A Day,Every Few Weeks,Several Times A Day,A Few Times A Week,About Once A Day,Less Often,Less Often,Never,Every Few Weeks,Less Often,Less Often,Never,74,126,1548181098801468,9,135,It's someone holding up a blanket type thing.,Neutral,It was pretty boring but okay,55,190,Neutral,Moderately Favors,Somewhat Likely,they might get money if you click through and buy the item,48,244,,,,26,270,1976,Female,Bachelor's Degree,"Less than $25,000",16,286
316,12,12,3,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,About Once A Day,Several Times A Day,Several Times A Day,About Once A Day,Several Times A Day,A Few Times A Week,A Few Times A Week,Never,Less Often,Every Few Weeks,60,72,804314814672700115,18,90,It is a cute dog bed that looks like a shark,Extremely Positive,It is cute and can keep your pet comfortable and warm,70,160,Extremely Positive,Strongly Favors,Extremely Likely,Not only is it for dogs but it is for cats as well. They definitely have either a dog or a cat maybe even both,85,258,It proves they are affiliated with the company and will receive a commission,73,331,32,363,1987,Female,High School Graduate,"Less than $25,000",16,379
317,7,7,5,3,Yes,No,Yes,No,No,No,Several Times A Day,Never,Never,About Once A Day,Never,Never,About Once A Day,Never,Never,Less Often,Never,Never,54,61,414823815668000016,16,77,There were 3 pictures of pink tennis shoes with embellishments.,Somewhat Positive,I think it is a very cute idea to take plain shoes and embellish them.,75,152,Extremely Positive,Strongly Favors,Extremely Unlikely,I don't think there could be a relationship between a major company who makes tennis shoes and someone who purchases them to make them cuter.  I think the company would rather embbelish them.,109,290,"It means that for every sale this company makes from her link, she receives a commission on this sale.  She has a link to this company on her site.",83,373,31,404,1951,Female,High School Graduate,"$50,000 to $74,999",20,424
318,39,39,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,Every Few Weeks,About Once A Day,Several Times A Day,Every Few Weeks,Every Few Weeks,About Once A Day,Never,Never,Every Few Weeks,110,149,697283954778000593,12,161,There was a soap holder that was fancier than most typical bathroom soap holders. It was geared more towards those with an eye for interior design,Somewhat Positive,The post had a good quality image,267,428,Somewhat Positive,Somewhat Favors,Somewhat Likely,"The poster indicated that she was reimbursed for sharing the link, so I could infer that pinterest favors posts that generate sales",125,584,The individual who shared the link received pay whenever the product is bought through that link,31,615,22,637,1998,Female,Some College,"$50,000 to $74,999",20,657
319,18,18,1,1,Yes,No,Yes,No,Yes,No,Every Few Weeks,Never,Never,A Few Times A Week,Several Times A Day,Never,Every Few Weeks,Never,Never,Less Often,Every Few Weeks,Never,62,80,697283954778000593,11,91,a soap holder with soap,Somewhat Positive,i like the holder,34,125,Somewhat Positive,Moderately Favors,Extremely Likely,"if you buy the holder from amazon, the pin creator will get affiliate money",89,229,,,,50,279,1997,Male,High School Graduate,"Less than $25,000",31,310
320,50,50,5,4,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,About Once A Day,About Once A Day,About Once A Day,A Few Times A Week,About Once A Day,Less Often,Every Few Weeks,Less Often,Less Often,Never,Every Few Weeks,310,360,1548181098801468,7,367,It looked like a blanket,Somewhat Positive,It looked cozy.,56,423,Somewhat Positive,Moderately Favors,Somewhat Likely,Very good accentuation.  ,33,466,It sounds like you are a broker or something.,21,487,15,502,1992,Male,Bachelor's Degree,"$50,000 to $74,999",10,512
321,13,13,1,2,Yes,Yes,No,Yes,Yes,No,Never,Several Times A Day,Several Times A Day,A Few Times A Week,Several Times A Day,Never,Never,Less Often,Every Few Weeks,Never,Less Often,Never,52,65,781374604069700266,46,111,It is a pin about bird feed. Has a picture of a cute bird on it.,Somewhat Positive,Caught my eye with the bird on it.,54,165,Somewhat Negative,Strongly Favors,Somewhat Likely,They put a link to order the product,77,256,,,,31,287,1981,Male,Some College,"$75,000 to $99,999",14,301
322,8,8,4,3,Yes,Yes,Yes,No,No,No,Several Times A Day,About Once A Day,Never,Every Few Weeks,A Few Times A Week,Never,A Few Times A Week,A Few Times A Week,Never,Never,Never,Never,42,50,414823815668000016,7,57,pink baby shoes,Somewhat Positive,"cute, but I do not have young girls so not of much interest to me",22,79,Neutral,Slightly Favors,Somewhat Unlikely,"they are heely shoes, not really appropriate for a baby",50,142,The user is paid if someone makes a purchase using the link,19,161,23,184,1976,Female,Bachelor's Degree,"$75,000 to $99,999",24,208
323,17,17,2,3,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Several Times A Day,Never,Several Times A Day,Several Times A Day,Never,Several Times A Day,Several Times A Day,Several Times A Day,About Once A Day,Several Times A Day,Never,75,92,414823815668000016,17,109,It was baby shoes with 695 pins,Extremely Positive,It had some really nice pink baby shoes ,33,142,Extremely Positive,Strongly Favors,Extremely Likely,The person selling the show created the pin most likely ,71,240,making money on the pin ad,69,309,29,338,1968,Female,Bachelor's Degree,"$50,000 to $74,999",24,362
324,14,14,1,5,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,A Few Times A Week,Several Times A Day,About Once A Day,About Once A Day,Less Often,Every Few Weeks,A Few Times A Week,Several Times A Day,Several Times A Day,Never,Never,62,76,804314814672700115,11,87,A shark shaped doggie bed.,Extremely Positive,It was really cute and I think my dog would like it.,58,145,Extremely Positive,Moderately Favors,Somewhat Likely,The lack of personal description in the pin.,81,240,,,,24,264,1988,Female,Some College,"Less than $25,000",21,285
325,5,5,5,1,No,Yes,Yes,Yes,Yes,Yes,About Once A Day,Every Few Weeks,About Once A Day,Never,A Few Times A Week,Several Times A Day,Less Often,Less Often,Never,Never,Never,About Once A Day,61,66,697283954778000593,27,93,It looked like an off the shelf soap holder.  Didn't see anything special about it.,Neutral,I'm not excited about soap holders.,75,168,Neutral,Somewhat Favors,Somewhat Likely,They're obviously trying to sell it,56,251,It means that it's an affiliate link and they get a commision for the sale.,39,290,26,316,1964,Male,Associate's Degree,"$100,000 to $124,999",15,331
326,14,14,1,2,No,Yes,Yes,No,No,No,About Once A Day,About Once A Day,Less Often,Less Often,A Few Times A Week,Never,A Few Times A Week,A Few Times A Week,Never,Never,Never,Never,87,101,781374604069700266,15,116,It is an advertisement for outdoor bird food. It had a picture of a bird on the front of it.,Neutral,I do not have enough information or experience with the product to have an impression on it,71,187,Neutral,Moderately Favors,Somewhat Likely,They had probably used the product and liked it.,55,257,,,,29,286,1977,Female,High School Graduate,"$50,000 to $74,999",34,320
327,4,4,4,4,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,A Few Times A Week,Less Often,A Few Times A Week,A Few Times A Week,Never,Several Times A Day,A Few Times A Week,Less Often,A Few Times A Week,A Few Times A Week,Never,27,31,1548181098801468,82,113,"It was a blanket of some sort being held up by a person. It said ""for the home""",Somewhat Positive,It was a nice blanket of neutral color and looked nice. ,28,141,Somewhat Positive,Moderately Favors,Somewhat Likely,They are benefiting from selling the blanket.,25,189,They are a promoter perhaps who receives payment for selling them. ,20,209,17,226,1986,Female,Bachelor's Degree,"$50,000 to $74,999",11,237
328,24,24,5,5,Yes,No,Yes,No,Yes,No,Several Times A Day,Less Often,Never,About Once A Day,About Once A Day,Less Often,A Few Times A Week,Never,Never,A Few Times A Week,Less Often,Never,40,64,804314814672700115,8,72,"I thought it was a cool, unique doggy bed",Extremely Positive,I loved it!,41,113,Extremely Positive,Somewhat Favors,Somewhat Unlikely,I think this person just gets paid to share items of interest and for sale on pinterest.,88,214,"It disappointed, however I would never have seen it, otherwise.",26,240,18,258,1964,Female,Master's Degree,"$35,000 to $49,999",18,276
329,655,655,3,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,About Once A Day,Every Few Weeks,Less Often,Never,Less Often,Never,Never,Less Often,Less Often,Never,64,719,697283954778000593,38,757,This pin was an oil rubbed bronze soap dish connected to a backs plash with a bar of soap in it.,Somewhat Positive,It was a visually appealing pin and had a clean look and feel to it.,78,835,Extremely Positive,Strongly Favors,Somewhat Likely,In general I think pinners pin things they like.  Most times it should be obvious if there is a link between the item and the pinner just by looking at what else the pinner has pinned.,106,969,Affiliate link is what I took that to mean.  Which actually probably means the pinner is being paid by Rozin to promote their product.,40,1009,28,1037,1975,Female,Some College,"$150,000 or more",15,1052
330,60,60,4,1,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,About Once A Day,Less Often,Every Few Weeks,A Few Times A Week,Never,Every Few Weeks,Every Few Weeks,Less Often,Less Often,Never,Never,120,180,697283954778000593,31,211,I saw a soap holder within a shower. It was also embedded or stuck to the tile. ,Somewhat Positive,"I feel it was somewhat positive because it looks elegant. However, it was not my particular taste.",94,305,Somewhat Positive,Somewhat Favors,Extremely Likely,The text under the original pin stated it was sponsored. ,304,724,"For every sale that is made, a certain percentage goes to them. ",177,901,180,1081,1986,Female,High School Graduate,"Less than $25,000",18,1099
331,8,8,2,5,No,No,Yes,No,Yes,No,About Once A Day,Less Often,Never,Less Often,Several Times A Day,Never,Every Few Weeks,Never,Never,Never,Never,Never,55,63,804314814672700115,10,73,"It was a pin for a dog bed that looked like a shark.  Not familiar with Pinterest, but i think a pin is like a bookmark for future reference, so someone was interested in this idea.",Somewhat Positive,I think it's a cute and creative item.  It's a very interesting and creative design.,105,178,Somewhat Positive,Moderately Favors,Somewhat Likely,I think the fact that it led to an amazon page in which one could actually purchase the item leads me to believe that the person who pinned it wants to convince others to buy it. There is likely a relationship.,86,271,Affiliate link.  It discloses that the link is to an outside site that is affiliated with Pinterest and/or the poster.,44,316,24,340,1984,Male,"Professional Degree (e.g., MBA, J.D.)","$75,000 to $99,999",15,355
332,166,166,1,4,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,A Few Times A Week,A Few Times A Week,About Once A Day,About Once A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,Less Often,Less Often,44,210,1548181098801468,18,228,Someone is holding up a demin-looking blanket or rug.,Neutral,"I don't love it, but I don't dislike it either, so I feel fairly neutral about it.",33,261,Somewhat Positive,Moderately Favors,Neutral,"Just because the pin creator created the pin doesn't mean there is a relationship.  There could be, but I have no way of knowing, which is why I chose neutral.",219,490,,,,29,519,1980,Female,Some College,"$35,000 to $49,999",11,530
333,19,19,1,1,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Less Often,Less Often,A Few Times A Week,About Once A Day,Never,About Once A Day,Less Often,Less Often,Every Few Weeks,Never,Never,126,145,697283954778000593,28,173,The pin was a photo of a soap holder. It was installed directly into the wall.,Somewhat Positive,"It looked nice;however, I wonder how it would hold up over time.",79,252,Somewhat Positive,Strongly Favors,Extremely Likely,The photo is one made by the manufacturer or at least it looks like a product image.,124,394,,,,28,422,1967,Female,High School Graduate,"$50,000 to $74,999",26,448
334,24,24,1,4,Yes,No,Yes,No,Yes,Yes,Several Times A Day,A Few Times A Week,Never,About Once A Day,Several Times A Day,Several Times A Day,Every Few Weeks,Never,Never,A Few Times A Week,Every Few Weeks,Every Few Weeks,37,61,1548181098801468,7,68,"It was a woman holding up what appeared to be a blanket, underneath it said ""for the home""",Somewhat Positive,"I quite liked the blanket, assuming thats what it was, but a pin with more relevant information would have been better.",62,130,Somewhat Positive,Moderately Favors,Somewhat Likely,"Because its now sold out, with many large pinterest accounts ""influencers"" are payed by companies to show off products, and this looks like one of those cases.",67,213,,,,21,234,1983,Male,Associate's Degree,"$35,000 to $49,999",14,248
335,17,17,4,1,Yes,Yes,Yes,No,Yes,Yes,Several Times A Day,Several Times A Day,Never,A Few Times A Week,About Once A Day,About Once A Day,A Few Times A Week,A Few Times A Week,Never,A Few Times A Week,Never,Every Few Weeks,84,101,697283954778000593,21,122,It was a DIY pin with a picture of a dark metal soap holder in a bathroom ,Extremely Positive,The soap holder looked stylish,59,181,Somewhat Positive,Moderately Favors,Somewhat Unlikely,"I don't think there's a relationship between the two, I think the pin creator is just making money for promoting the item",232,516,It's a disclosure about the fact that the pinner gets paid for posting the pin,44,560,114,674,1975,Female,Some College,"$25,000 to $34,999",20,694
336,19,19,1,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Every Few Weeks,Every Few Weeks,Every Few Weeks,A Few Times A Week,Every Few Weeks,Several Times A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,48,67,804314814672700115,13,80,i think that its a waste of money to buy your pets dog beds.mine sleep in the bed with me,Somewhat Negative,i think its a waste of money,70,150,Somewhat Negative,Moderately Favors,Neutral,thats just how i feel,45,210,,,,19,229,1978,Female,Some College,"Less than $25,000",19,248
337,243,243,4,5,Yes,Yes,Yes,Yes,Yes,No,Less Often,Several Times A Day,Several Times A Day,A Few Times A Week,Several Times A Day,Never,Never,Less Often,Less Often,Less Often,Less Often,Never,34,277,804314814672700115,7,284,It's a shark dog bed,Neutral,I didn't think anything of it.,21,305,Extremely Negative,Does Not Favor At All,Neutral,I don't like sponsored things. I doubt the pin creator cares about the item aside from making money. ,41,353,A company paid the pin creator to post the pin.,13,366,13,379,1997,Female,Some College,"$25,000 to $34,999",12,391
338,8,8,1,5,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,Every Few Weeks,About Once A Day,Every Few Weeks,Several Times A Day,Every Few Weeks,Every Few Weeks,Every Few Weeks,Every Few Weeks,Every Few Weeks,A Few Times A Week,Every Few Weeks,61,69,804314814672700115,8,77,It is a dog bed that is made to look like sits in the mouth of a stuffed shark animal,Somewhat Positive,The design and concept idea is cute and I think has a comic allure to it,45,122,Somewhat Positive,Strongly Favors,Somewhat Likely,"The description underneath the pin was the same as the description on the sales page, and was not a ""human"" description of the item i.e. no emotions or experience attached",84,219,,,,34,254,1989,Male,Some College,"$25,000 to $34,999",10,264
339,7,7,5,4,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Every Few Weeks,Every Few Weeks,A Few Times A Week,A Few Times A Week,Never,About Once A Day,Every Few Weeks,Less Often,Every Few Weeks,Less Often,Never,51,58,1548181098801468,17,75,"There is a person holding up a large piece of fabric. It's for the home, so I think it is for furniture? I have no idea what it really is.",Neutral,I can't figure out what the picture was about.,82,157,Somewhat Positive,Somewhat Favors,Extremely Likely,I think this is an affiliated post. Business pays for sales through this pin. There is nothing wrong with that.,75,247,The seller pays commission to the poster if anyone buys the product through this pin. ,53,300,26,326,1962,Female,Some College,"$75,000 to $99,999",12,338
340,25,25,2,3,Yes,No,Yes,No,Yes,No,Several Times A Day,Never,Never,A Few Times A Week,A Few Times A Week,Never,Several Times A Day,Never,Never,Every Few Weeks,Less Often,Never,88,113,414823815668000016,29,142,Adorable baby shoes with gems and fancy shoe strings.,Extremely Positive,I am about to become a great grandmother of a baby girl and these shoes would be just beautiful for her.,146,288,Somewhat Positive,Moderately Favors,Neutral,"They were nice but I don't like these skate shoes much, too much chance of accidents.",144,464,"Not really sure, maybe affiliate link.",47,511,37,548,1948,Female,Some College,"$25,000 to $34,999",20,568
341,9,9,5,3,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,Every Few Weeks,Several Times A Day,A Few Times A Week,Several Times A Day,About Once A Day,A Few Times A Week,Less Often,A Few Times A Week,Less Often,About Once A Day,44,53,414823815668000016,3,56,didn't see anything,Neutral,didn't see anything,28,84,Neutral,Somewhat Favors,Somewhat Likely,usually they get paid to share affiliate info,30,129,if someone follows the link they posted and makes a purchase they get paid,26,155,13,168,1985,Female,Master's Degree,"$75,000 to $99,999",22,190
342,5,5,5,1,Yes,No,Yes,Yes,Yes,No,Every Few Weeks,A Few Times A Week,Every Few Weeks,A Few Times A Week,Several Times A Day,Never,Never,Never,Never,Never,Never,Never,39,44,697283954778000593,11,55,It was a soap holder that was extended out a little bit in a shower. It was black in color and had a bar of soap in it. ,Somewhat Negative,"It looked like it would take up some room in the shower, and it looked like it would be in an inconvenient position. It's only somewhat negative because maybe other people have bigger showers than I do. ",90,145,Somewhat Negative,Somewhat Favors,Extremely Likely,I think the person gets money if people click on the pin and go to the site and buy the item.,56,211,The person makes money if you go to the site from that pin and purchase the item. ,20,231,95,326,1975,Male,Bachelor's Degree,"Less than $25,000",16,342
343,12,12,4,3,No,Yes,No,Yes,Yes,No,Never,About Once A Day,About Once A Day,Less Often,Several Times A Day,Never,Never,Never,A Few Times A Week,Never,Never,Never,63,75,414823815668000016,8,83,It looked like sneakers for a little girl that had been bedazzled. The four  photos shown showcased the shoes from different angles.,Somewhat Positive,"While I would never want those shoes or search for shoes like that, I appreciate the effort that went into making them.",124,207,Neutral,Moderately Favors,Neutral,I'm not too familiar with what goes on on Pinterest so I don't know how often users try to sneak affiliate links in or if abuse of the system is commonplace but it's never seemed like it to me. So I'm willing to withhold judgment.,223,460,"Fundamentally it means that a portion of the sale goes to the person who provided the link to the product. If it's just some person on the internet trying to make a little money from suggestions, great. But it could be part of a network flooding Pinterest to place these affiliate links everywhere.",141,601,59,660,1980,Male,Some College,"$50,000 to $74,999",10,670
344,7,7,2,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Every Few Weeks,Several Times A Day,Several Times A Day,Several Times A Day,Never,Several Times A Day,34,41,804314814672700115,5,46,Dog beds showing a shark being a dog bed,Extremely Positive,cute dog bed for dog,17,63,Extremely Positive,Moderately Favors,Somewhat Likely,good relationship as well as the product being good,68,137,affiliate link meaning they get paid for using it,21,158,11,169,1989,Male,Some College,"$35,000 to $49,999",9,178
345,8,8,5,5,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Several Times A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,Never,A Few Times A Week,A Few Times A Week,Less Often,A Few Times A Week,Less Often,Never,47,55,804314814672700115,45,101,It was a dog bed shapes like a shark. It was very cute and if I had a dog I would totally buy it.,Extremely Positive,The idea of a dog bed shaped like a shark is so cute and I like it a lot.,51,152,Somewhat Positive,Somewhat Favors,Extremely Likely,Usually the pinner gets paid to post links like that and so I never know if they really like the item or are just getting paid to say they do. Also that particular link had no ratings on Amazon so I don't have any other basis to judge the quality of it.,148,311,"It means for every person who clicks on that link to purchase the item, the original pinner gets paid a portion of that sale in commission. ",62,373,20,393,1986,Female,Bachelor's Degree,"$50,000 to $74,999",14,407
346,20,20,3,1,Yes,No,Yes,Yes,Yes,No,Several Times A Day,Never,Several Times A Day,About Once A Day,A Few Times A Week,Never,About Once A Day,Never,About Once A Day,A Few Times A Week,Never,Never,52,72,697283954778000593,13,85,It was a metal soap holder for a shower wall.,Somewhat Positive,"It looks nice, but it would not match my decor so it is not something I would use.",55,140,Somewhat Positive,Strongly Favors,Extremely Likely,It seems like they are promoting this item to purposely link buyers to the Amazon page.,70,227,It means that the poster is going to get paid every time someone clicks on the link from their post to go to the item's page on Amazon.,106,333,25,358,1975,Female,Bachelor's Degree,"$75,000 to $99,999",18,376
347,22,22,3,4,Yes,Not Sure,Yes,Not Sure,Not Sure,No,Several Times A Day,Never,About Once A Day,About Once A Day,About Once A Day,Never,About Once A Day,Never,Never,Every Few Weeks,Never,Never,69,91,1548181098801468,16,107,tablecloth blue in color,Neutral,I don't know why its on pinetrest ,48,155,Neutral,Somewhat Favors,Somewhat Likely,It just looks like it,58,223,the link belongs to someone else than the person showing it,43,267,40,307,1936,Female,Some College,"$35,000 to $49,999",21,328
348,33,33,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,Every Few Weeks,About Once A Day,About Once A Day,Every Few Weeks,Every Few Weeks,A Few Times A Week,Less Often,Less Often,A Few Times A Week,32,65,781374604069700266,12,77,It was a pin for a bird feeder claiming to be high energy,Somewhat Positive,"While it is not something I would buy, it looks like it would benefit bird owners",47,124,Somewhat Negative,Strongly Favors,Somewhat Likely,"It seems like the pin is promoting the product, so users will click on it and be brought to the Amazon page to buy it",43,177,,,,10,187,1992,Female,Master's Degree,"$75,000 to $99,999",15,202
349,5,5,3,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,A Few Times A Week,Every Few Weeks,Several Times A Day,Every Few Weeks,Every Few Weeks,Every Few Weeks,Every Few Weeks,Never,A Few Times A Week,79,85,697283954778000593,9,94,It was a fancy bar soap holder.,Somewhat Positive,It looked nice. It seems pretty useless but if I had the money I would buy it. ,62,156,Neutral,Somewhat Favors,Somewhat Likely,It looks like it could be sponsored. ,77,278,No clue.,14,292,5,297,1997,Female,Some College,"Less than $25,000",18,315
350,155,155,1,5,Yes,No,Yes,Yes,Yes,No,Several Times A Day,Never,A Few Times A Week,A Few Times A Week,A Few Times A Week,Never,A Few Times A Week,Never,Less Often,Never,Never,Never,235,390,804314814672700115,58,448,It took a minute for me to realize that the item in the pin is a dog bed. It looks like a shark or whale. I do not find it attractive. ,Extremely Negative,I do not understand why anyone would want to use the design for a dog bed. The idea of a dog entering the mouth of a shark or whale is not humorous to me.,555,1003,Extremely Negative,Moderately Favors,Somewhat Likely,"I know some people would probably like the item and might create a pin about it. However, it is more likely that the pin creator is trying to help a company to sell the item because most people post pins of beautiful items that a lot of people would like to own and the dog bed is not that sort of item. So, I think this pin is out of the ordinary, when compared to most pins I have seen. ",798,1857,,,,149,2006,1957,Female,Bachelor's Degree,"$25,000 to $34,999",40,2046
