workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Video,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,VideoId,player_actions,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the video you just watched.",What is your overall impression of the video?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,Time_spent_page_description,Time_spent_survey_description,"After watching the video, what is your overall impression of the item shown in the image above?",How much do you think the video creator favors the item shown in the image above?,How likely do you think there is a relationship between the video creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the video you watched states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
543,9,9,1,2,Yes,Yes,Yes,Yes,Yes,No,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,About Once A Day,Never,Less Often,Less Often,Never,Less Often,Less Often,Never,51,60,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.07125410790100098;0|204.901;,220,280,Judy gave a full demonstration of how to properly blend eye shadow.,Extremely Positive,She had a very good personality and was very easy watch and understand.  She knows how to have a camera presence and is very entertaining.,135,415,42,457,Somewhat Positive,Strongly Favors,Somewhat Unlikely,I'm sure she will get commission from the link if people click on it.  But every blog is like that.  Click on the link or find it on your own.  There is no direct relationship between Judy and Amazon.,120,577,,,,36,613,1959,Male,Some College,"$150,000 or more",18,631
544,1040,1040,5,1,No,No,Yes,Yes,Yes,No,Several Times A Day,Never,Every Few Weeks,Never,Several Times A Day,Never,A Few Times A Week,Never,Less Often,Never,Less Often,Never,38,1078,DQktwMexxE0,Start|0;-1|0;3|0;1|0.002000093460083008;0|217.081;,470,1548,a cat is curious about a Furrby.,Somewhat Positive,it was cute,22,1570,8,1578,Neutral,Slightly Favors,Extremely Unlikely,it's just someone's personal video,213,1791,they get a commission,16,1807,18,1825,1981,Male,Bachelor's Degree,Prefer not to answer,12,1837
545,9,9,2,3,No,No,Yes,Yes,Yes,No,Less Often,Less Often,Every Few Weeks,Less Often,About Once A Day,Less Often,Less Often,Never,Never,Never,Every Few Weeks,Never,53,62,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0009999275207519531;,174,236,"It was a video of a slideshow about a hotel resort.  It was playing deck the halls on repeat, even though it didn't seem holiday related.",Somewhat Negative,"I think that the song was a poor choice to go with the video, since the song was a Christmas song.",118,354,28,382,Neutral,Somewhat Favors,Somewhat Unlikely,It would seem that the company would know better than to just play Deck the Halls song twice in the video.,47,429,It probably means that they link to advertisers in their video description.,38,467,34,501,1986,Male,Some College,"Less than $25,000",16,517
546,98,98,5,1,Yes,Yes,Yes,Not Sure,Yes,Yes,Several Times A Day,A Few Times A Week,Not Sure,About Once A Day,Several Times A Day,Every Few Weeks,Every Few Weeks,Less Often,Not Sure,Every Few Weeks,Less Often,Less Often,249,347,DQktwMexxE0,Start|0;-1|0;3|0;1|0.0019998550415039062;,224,571,A gray cat is playing with a japanese furby sniffs the toy then tried to check out a pink furby toy,Extremely Positive,i like cats and the video was cute,729,1300,96,1396,Somewhat Positive,Strongly Favors,Somewhat Likely,She probable wants others to try the food her cat uses or is trying to get paid buy the organization,216,1612,she gets paid when you click in the link and maybe also if you were to buy the product,67,1679,20,1699,1987,Female,High School Graduate,"$50,000 to $74,999",40,1739
547,304,304,5,3,Yes,No,Yes,Yes,No,Yes,Every Few Weeks,Never,About Once A Day,A Few Times A Week,A Few Times A Week,Several Times A Day,Every Few Weeks,Never,Less Often,Less Often,Never,About Once A Day,102,406,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0010001659393310547;0|213.145191;,232,638,"We saw a luxurious large hotel building, guest rooms, pool, golf course, dining room, yoga studio, etc.  It seems that this was a promotional video for www.Hotelz.tv ",Extremely Positive,"I enjoyed watching the video.  The hotel looked great and I wondered where this hotel is, how much this hotel is, etc.  I wanted to watch more.",189,827,94,921,Extremely Positive,Strongly Favors,Extremely Likely,"It said in the previous page that if we (viewers) click links, then this person get compensation.",90,1011,"Basically this person is promoting the hotel with pay.  There is nothing wrong with it, and I guess it's a new way of making money.  I am not sure if I am interested enough to click affiliate links, though.  I may search the hotel by myself.",114,1125,116,1241,1961,Female,Bachelor's Degree,"$75,000 to $99,999",12,1253
548,9,9,3,2,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Several Times A Day,A Few Times A Week,About Once A Day,Several Times A Day,Never,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,Never,38,47,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.0019998550415039062;3|0;1|0.026000041961669922;,210,257,about an eye shadow pallet that she bought at the drug store the gave a tutorial on how to get the look that she has ,Somewhat Positive,she was a pleasant person and she gave a good tutorial ,53,310,10,320,Somewhat Positive,Somewhat Favors,Extremely Unlikely,she was just a normal person who does youtube videos and likes giving tutorials I dont think shes connected to amazon in any way ,58,378,that links to the product may be present ,19,397,17,414,1982,Female,Some College,"$35,000 to $49,999",15,429
549,23,23,2,3,No,No,Yes,No,Yes,No,About Once A Day,A Few Times A Week,A Few Times A Week,Every Few Weeks,About Once A Day,A Few Times A Week,Every Few Weeks,Never,Never,Never,Never,Never,69,92,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0009999275207519531;2|211.622173;,227,319,"This video was a series of pictures from a hotel.  It showed exterior, interior and activity scenes.  Many different room types were shown.  It also displayed the various leisure activities at the hotel.",Somewhat Positive,Some of the pictures were not meaningful to the resort.  Seeing a bunch of glasses close up doesn't convey anything about the resort.  But most of the scenes were quite inviting.,134,453,56,509,Somewhat Positive,Moderately Favors,Extremely Likely,"This video was more than a single guest experience, it was clearly created as a marketing tool.",67,576,The video creator will receive compensation for those who go to linked affiliate sites from the video page.,50,626,34,660,1972,Male,Master's Degree,"$100,000 to $124,999",20,680
550,8,8,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,18,26,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0;2|173.240112012987;1|173.2421118680285;3|173.240112012987;1|173.24211185504151;2|183.54806493506493;1|183.55006479010643;3|183.54806493506493;1|183.548065;2|55.52993993506494;1|55.53194002852502;3|55.52993993506494;1|55.53193985504151;2|142.64876785714284;1|142.652768044063;3|142.64876785714284;1|142.648768;2|189.53332792207792;1|189.53532777711942;3|189.53332792207792;1|189.53532785504152;0|204.901;,553,579,cosmetics,Somewhat Positive,make me beauty,18,597,3,600,Somewhat Positive,Somewhat Favors,Somewhat Likely,it may help and it is somewhat okay,46,646,,,,5,651,1984,Male,"Professional Degree (e.g., MBA, J.D.)","$75,000 to $99,999",19,670
551,13,13,2,3,Yes,Yes,Yes,Yes,Yes,No,Never,A Few Times A Week,Every Few Weeks,A Few Times A Week,About Once A Day,Never,Never,Every Few Weeks,Every Few Weeks,Never,Never,Never,37,50,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0019998550415039062;0|213.145191;,222,272,I watched cool hotel pictures from denmark. very interesting decor very different. People were relaxing and it showed interior and exterior of the hotel.,Somewhat Negative,the christmas music was a deal breaker. It made me not want to ever watch something I would otherwise enjoy,105,377,22,399,Somewhat Positive,Somewhat Favors,Somewhat Likely,I think he enjoys selling the quirky nature of the hotel.,68,467,That links on the site will lead you to other sites of advertisments or places to sell you other things. ,44,511,15,526,1962,Female,Bachelor's Degree,"$75,000 to $99,999",14,540
552,11,11,6,4,Yes,Yes,No,Yes,Yes,Yes,Never,About Once A Day,A Few Times A Week,Every Few Weeks,Several Times A Day,Several Times A Day,Never,A Few Times A Week,A Few Times A Week,Less Often,Never,A Few Times A Week,49,60,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.004633093460083008;2|36.656254;1|36.72;0|200.401;,263,323,It was a bunch of rapid fire shots of Iceland. The background was some crappy EDM. It felt like a commercial for GoPro or something.,Somewhat Negative,It felt like a commercial.,46,369,8,377,Neutral,Strongly Favors,Extremely Likely,"Like I said- it was a commercial. If it wasn't, then they wouldn't have linked to the drone.",40,417,"""Please give us money""",14,431,20,451,1981,Male,Bachelor's Degree,"$75,000 to $99,999",10,461
553,12,12,7,5,No,No,Yes,Yes,Yes,No,Never,Never,A Few Times A Week,Never,Several Times A Day,Never,Never,Never,Less Often,Never,Less Often,Never,50,62,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.0009999275207519531;0|220.721;,227,289,This was a review of a Crosley record player. The host was Jordan. He likes the record player.,Somewhat Negative,"The product being reviewed is uninteresting to me, and the host didn't have anything very interesting or insightful to say about it.",70,359,19,378,Somewhat Negative,Strongly Favors,Neutral,"I think the host may have said he bought the player himself, although I can't recall for sure. There weren't any kind of disclaimers that the company gave him the item or other ongoing relationship. But YouTubers aren't always scrupulous about mentioning that sort of thing.",134,512,The host will get affiliate-link revenue if you follow the links to shop for things.,28,540,29,569,1975,Male,Bachelor's Degree,"Less than $25,000",14,583
554,6,6,2,2,No,No,Yes,No,Yes,Yes,Never,A Few Times A Week,Every Few Weeks,Every Few Weeks,Several Times A Day,A Few Times A Week,Never,Every Few Weeks,Less Often,Less Often,Several Times A Day,A Few Times A Week,40,46,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.004034927520751953;0|204.901;,212,258,"It was a make up tutorial video about eye shadow, fake eyelashes and eye liner. It was done by lady who is also a mom. ",Somewhat Positive,I found no faults with the video and thought it was a good video from a male standpoint. ,47,305,7,312,Neutral,Somewhat Favors,Extremely Likely,Most likely this Youtube user is paid by the manufacturer of the make up product to make this positive review video. ,37,349,It means that the product featured is potentially sponsored to the Youtube user,25,374,23,397,1976,Male,High School Graduate,"Less than $25,000",8,405
555,8,8,5,3,Yes,No,Yes,Yes,Yes,No,A Few Times A Week,Never,Never,Never,Several Times A Day,Never,A Few Times A Week,Never,Never,Never,Never,Never,33,41,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0009999275207519531;0|213.145191;,221,262,"It was one and a half repeats of the most annoying rendition of ""Deck the Halls"" I have ever had the misfortune to hear.",Extremely Negative,That breathy saccharine soprano made me want to wring the singer's neck.  ,43,305,29,334,Somewhat Negative,Somewhat Favors,Somewhat Likely,"I would imagine the person taking the pictures works for the hotel.  This picture in particular is not very flattering.  What is that dilapidated thing to the left, and why aren't the chairs tidy?",39,373,"It means that if I click on one of those product links, the Youtube poster will get a small commission.",24,397,16,413,1977,Male,Some College,"Less than $25,000",15,428
556,34,34,1,3,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,A Few Times A Week,Less Often,A Few Times A Week,About Once A Day,Never,A Few Times A Week,Never,Never,A Few Times A Week,Never,Never,90,124,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0009999275207519531;,176,300,"This video was about a hotel. It should pictures of the rooms, bathrooms and grounds.",Somewhat Positive,It was nice pictures. Made me want to stay there.,117,417,52,469,Somewhat Positive,Somewhat Favors,Neutral,I don't know if the video creator and the site have a relationship.,119,588,,,,15,603,1980,Female,Associate's Degree,"$50,000 to $74,999",51,654
557,4,4,7,4,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,Every Few Weeks,About Once A Day,Several Times A Day,Every Few Weeks,Every Few Weeks,Never,Never,Never,A Few Times A Week,34,38,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0;,189,227,It was good footage. He had a dashcam and drone.,Extremely Positive,It had very nice visuals.,32,259,8,267,Extremely Positive,Strongly Favors,Extremely Likely,He probably can get a commission if people buy it.,41,308,they will get a commission if I purchase through the link,18,326,9,335,1991,Female,Bachelor's Degree,"$25,000 to $34,999",12,347
558,42,42,4,1,No,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,Never,Several Times A Day,Several Times A Day,Every Few Weeks,Less Often,Less Often,Never,Never,A Few Times A Week,70,112,DQktwMexxE0,Start|0;-1|0;3|0;1|0.021763969482421874;2|1.409194;3|1.409194;1|1.420964948501587;0|217.081;1|3.19368831359566;2|3.1706883116883113;3|3.1706883116883113;1|3.173688020980835;2|4.227584;3|4.227584;1|4.2446370629425045;2|3.875285714285714;3|0;1|0.024216104904174807;2|0.967701;,246,358,"There was a cat playing with a Furby. As the owner put it away, the cat seemed like it wanted the Furby to be put back on the floor so it could play with it more.",Neutral,Not much happened in the video...pretty boring.,147,505,29,534,Neutral,Slightly Favors,Extremely Likely,I would assume the creator and the organization have a relationship since she is promoting their product on her website.,106,640,The company pays the creator to advertise their product on her page.,67,707,34,741,1989,Male,Bachelor's Degree,"Less than $25,000",26,767
559,8,8,1,5,Yes,Yes,Yes,No,Yes,Yes,A Few Times A Week,About Once A Day,Never,Less Often,Several Times A Day,Several Times A Day,Never,Every Few Weeks,Never,Never,Never,Several Times A Day,60,68,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.02500009536743164;,174,242,It was a review for an orange record player that folds up like a suitcase,Somewhat Positive,He was very good at explaining the record player and showed pros and cons to it. He seemed very knowledgeable about the record player,65,307,9,316,Extremely Positive,Moderately Favors,Extremely Unlikely,He just seemed like your ordinary youtuber who reviews products,40,356,,,,19,375,1997,Male,Some College,"Less than $25,000",15,390
560,16,16,1,4,Yes,Yes,Yes,No,Yes,No,Never,About Once A Day,Never,A Few Times A Week,Several Times A Day,Never,Never,Never,Never,Never,Never,Never,29,45,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.003999927520751953;0|200.401;,227,272,The video was drone footage of Iceland,Extremely Positive,It was pretty,31,303,5,308,Somewhat Positive,Moderately Favors,Somewhat Likely,"They were sponsored by them, probably",32,340,,,,9,349,1983,Female,High School Graduate,"Less than $25,000",17,366
561,7,7,4,2,Yes,No,No,No,No,No,Never,Never,Never,Every Few Weeks,Never,Never,Never,Never,Never,Never,Never,Never,32,39,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.0010001659393310547;0|204.901;,222,261,MAKE UP,Neutral,I DONT CARE MUCH ABOUT MAKEUP,24,285,11,296,Neutral,Somewhat Favors,Neutral,I JUST DONT CARE MUCH ABOUT THAT PRODUCT,26,322,SOME ONE GETS PAID IF I CLICK ON THE LINKS,24,346,8,354,1982,Female,Some College,"$25,000 to $34,999",19,373
562,8,8,1,2,Yes,No,No,Yes,Yes,Yes,Never,Never,A Few Times A Week,Every Few Weeks,Several Times A Day,Every Few Weeks,Never,Never,Never,Never,Never,Never,34,42,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.009000062942504883;,386,428,The video I just watched was a makeup   drugstore review on a Loreal palette. The youtuber gave the positives/what she liked about the palette and some of the negatives like fallout. She also shows us how she did her eye makeup look.,Somewhat Positive,Found the overall video to be positive and upbeat. It was informative for the most part.,114,542,7,549,Neutral,Moderately Favors,Somewhat Unlikely,If the video was sponsored she would have to state so in the beginning of the video and she states she paid for the product herself.,61,610,,,,18,628,1994,Female,Bachelor's Degree,Prefer not to answer,15,643
563,24,24,2,2,No,Yes,Yes,Yes,Yes,No,Several Times A Day,About Once A Day,Several Times A Day,Never,Several Times A Day,Never,Several Times A Day,Several Times A Day,About Once A Day,Never,A Few Times A Week,Never,30,54,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.018099927520751954;0|204.901;,506,560,I liked it alot. It was nice to see all the makeup being put on and displayed.,Extremely Positive,It was positive because it showed me new things.,21,581,3,584,Extremely Positive,Strongly Favors,Extremely Likely,I dont mind her getting money from clicks and sales.,12,596,It means she gets sales money,7,603,4,607,1990,Female,High School Graduate,"$35,000 to $49,999",7,614
564,42,42,6,2,No,Yes,No,Yes,Yes,Yes,Never,Several Times A Day,Several Times A Day,Never,Several Times A Day,Several Times A Day,Never,Every Few Weeks,Less Often,Never,Never,Every Few Weeks,62,104,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.057592106811523436;0|204.901;,213,317,It was a makeup tutorial. They also promoted a brand of a palette as well as eye shadow.,Neutral,The video didn't pertain to my needs but it was still well done.,69,386,14,400,Neutral,Somewhat Favors,Somewhat Likely,She was probably being paid to promote the product.,59,459,This means she is probably a brand affiliate and receiving payment based of sales from that link.,29,488,18,506,1994,Male,Bachelor's Degree,"$50,000 to $74,999",31,537
565,19,19,7,4,Yes,No,Yes,No,Yes,No,About Once A Day,Never,Never,Less Often,A Few Times A Week,Never,Less Often,Never,Never,Never,Never,Never,44,63,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.003000020980834961;,210,273,"The video showed the landscape of an area from a drone, and then from a car cam. There was some rain weather included.",Somewhat Negative,"It was not all that interesting to me, the setting was kinda bland and uninteresting. The rain was not that exciting since it was just a drizzle. ",148,421,17,438,Somewhat Positive,Strongly Favors,Somewhat Unlikely,"The drone wasn't being pushed that hard it seemed more like fandom, he tried the product and liked it so he recommends it.",69,507,"It means that the links may be more like an Ad, where ad clicks turn a small profit for the channel.",45,552,25,577,1988,Male,High School Graduate,Prefer not to answer,20,597
566,4,4,1,2,Yes,Yes,No,Yes,No,Yes,Several Times A Day,Several Times A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,Every Few Weeks,About Once A Day,About Once A Day,Several Times A Day,Several Times A Day,About Once A Day,41,45,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.12899994850158691;0|204.901;,438,483,a lady did reviews on some makeup. she was like heyyy here's this makeup blah blah blah. ,Somewhat Positive,It was interesting and bright and happy and fun and cool and the girl was hot ,273,756,14,770,Extremely Positive,Strongly Favors,Extremely Likely,well it's clearly about selling makeup and there are links and stuff to the makeup that she's showing  so there's definitely a relationship there ,71,841,,,,5,846,1992,Female,Associate's Degree,"$35,000 to $49,999",10,856
567,12,12,7,4,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,A Few Times A Week,Every Few Weeks,Several Times A Day,About Once A Day,Every Few Weeks,A Few Times A Week,Less Often,Every Few Weeks,Never,Every Few Weeks,55,67,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.002000093460083008;2|1.135017;1|1.199729927520752;2|191.87834415584416;3|191.87834415584416;1|191.878344;2|197.08182467532467;3|197.08182467532467;1|197.08482402098085;,210,277,The video was footage from a drone in Iceland with timelapse dash cam footage between the individual driving from place to place to launch his drone.  The background was a pop/Techno upbeat music.,Extremely Positive,The video left me feeling very good because of the beautiful scenery and the upbeat music.,123,400,18,418,Somewhat Positive,Strongly Favors,Somewhat Likely,"Youtubers have affiliate links to Amazon for individuals buying through that link.  It is beneficial to the individual for someone to purchase the drone but that being said it doesn't matter what drone was used, the deal is with Amazon not Yuneec.  But he chose to buy a Yuneec over something like a Phantom so he must like the drone.",210,628,Affiliate links to Amazon most YouTubers do it to make money,37,665,38,703,1983,Male,Bachelor's Degree,"$50,000 to $74,999",19,722
568,6,6,3,3,Yes,Yes,Yes,Yes,Yes,No,Every Few Weeks,Less Often,Less Often,Less Often,Several Times A Day,Never,Less Often,Never,Never,Never,Every Few Weeks,Never,69,75,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0009999275207519531;2|1.357922077922078;3|1.357922077922078;1|1.3589221659393311;2|25.12155844155844;3|25.121558;1|25.121558;2|43.11402597402598;3|43.11402597402598;1|43.115784;2|33.269090909090906;3|33.273667;1|33.2769638550415;2|39.04025974025974;3|39.04025974025974;1|39.048573093460085;2|52.619480519480526;3|52.625546;1|52.62749516593933;2|48.206233766233765;3|48.206233766233765;1|48.20723292752075;2|41.41662337662338;3|41.41662337662338;1|41.426695927520754;0|213.141;,230,305,It was a video of pictures of different views of hotels in Denmark.,Somewhat Positive,"Everything looked very positive. The video was a bit lackluster though, and the song repeated itself. The video was therefore too long and should have been condensed some.",131,436,35,471,Somewhat Positive,Moderately Favors,Somewhat Likely,It is likely that there is some sort of relationship here to advertise this hotel.,47,518,That there might be links to web pages that have affiliates to the advertising web site.,45,563,51,614,1986,Male,Associate's Degree,"$25,000 to $34,999",34,648
569,18,18,3,4,Yes,Yes,Yes,No,Not Sure,Yes,Several Times A Day,Several Times A Day,Never,A Few Times A Week,Several Times A Day,About Once A Day,A Few Times A Week,A Few Times A Week,Never,Less Often,Less Often,A Few Times A Week,60,78,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.0019998550415039062;,214,292,Desolate but nice landscape. Nature and  landscapes leave a feeling of tranquility and freshness,Extremely Positive,"I think it's an excellent video, images, speed and music",146,438,15,453,Extremely Positive,Strongly Favors,Extremely Likely,"definitely, the video shows the full extent of this drone, and the company is really interesting about it ",154,607,the Affiliate links could record the traffic that is sent to the advertiser's website.,135,742,37,779,1985,Male,"Professional Degree (e.g., MBA, J.D.)","$50,000 to $74,999",16,795
570,36,36,7,3,No,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,Never,Several Times A Day,Several Times A Day,About Once A Day,A Few Times A Week,About Once A Day,Never,About Once A Day,Several Times A Day,37,73,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.002000093460083008;2|204.02779220779232;3|204.02779220779232;1|204.02879192752076;,197,270,"The video showed several different hotels and all the features of the hotel.  These included dining areas, what the rooms looked like, recreational activities, etc.",Extremely Positive,The video effectively displayed all the aspects of the hotels.  I thought the hotels looked very high-end and it would be pleasant to stay there.,84,354,55,409,Extremely Positive,Strongly Favors,Extremely Likely,The video shows images of when no one is in the room and everything has been set up to stage what the rooms look like.  This means they likely closed the area off temporarily while taking these photos.,87,496,The owner of the Youtube channel gets paid whenever people purchase something using the links.,41,537,22,559,1995,Male,Bachelor's Degree,"$75,000 to $99,999",19,578
571,9,9,1,3,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,35,44,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.003000020980834961;2|18.10325;1|18.196999992370607;0|213.145191;,1410,1454,is a video showing a bunch of images of a hotel somewhere in europe and u can see all the amenities with a christmas song as a soundtrack ,Neutral,i didnt like the video was a little bit boring the song didnt match what i was seeing either ,177,1631,10,1642,Neutral,Moderately Favors,Neutral,i didnt think anything was related to anything i did like the hotel but none of the images look atracting to me at all mostly because of the song ,121,1763,,,,14,1777,1985,Female,Master's Degree,"$50,000 to $74,999",26,1803
572,5,5,7,2,Yes,Yes,No,Yes,Yes,Yes,Never,About Once A Day,Several Times A Day,A Few Times A Week,Several Times A Day,Several Times A Day,Never,A Few Times A Week,Several Times A Day,A Few Times A Week,Never,About Once A Day,34,39,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.007999897003173828;0|204.901;,212,251,It was a makeup tutorial/review.,Extremely Positive,"I've never watched a makeup tutorial before, but I was really surprised by just how informative and enjoyable it was. It's fascinating seeing all of the colors and techniques come together.",70,321,23,344,Somewhat Positive,Somewhat Favors,Extremely Unlikely,"It is required that youtubers make it clear when they are doing sponsored content, and I didn't see any indications that that was going on. ",61,405,"It's both a resource for the viewer and the youtuber. A lot of people are interested in the products they see in the videos, and these links provide them with easy access to those products and also give the youtuber money for referring the shoppers. ",67,472,37,509,1991,Male,Bachelor's Degree,"$35,000 to $49,999",16,525
573,9,9,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Every Few Weeks,Less Often,A Few Times A Week,About Once A Day,About Once A Day,About Once A Day,Less Often,Never,Never,Every Few Weeks,110,119,DQktwMexxE0,Start|0;-1|0;3|0;1|0.020999908447265625;2|185.375019;1|185.37703809346007;0|217.081;,309,428,"There was a ferbie sitting on the floor and a cat was investigating it. The ferbie began to talk and the cat was scared/interested in it. When the cat's owner picked it up, the cat became upset and then  climbed to reach it. ",Somewhat Positive,"I thought it was very cute how the cat was so interested in the ferbie and acted scared towards it. It was also cute that when the owner put it up, the cat wanted to play with the ferbie more. ",194,622,16,638,Neutral,Slightly Favors,Somewhat Likely,There is a slight chance that the video creator and the organization selling the item have a relationship. ,79,717,Links to organizations that the video creator belongs to or donates to might be found below.,57,774,25,799,1999,Female,High School Graduate,"Less than $25,000",32,831
574,30,30,3,4,No,No,Yes,Yes,Yes,No,A Few Times A Week,Every Few Weeks,About Once A Day,Every Few Weeks,Several Times A Day,Less Often,Every Few Weeks,Never,Every Few Weeks,Never,Every Few Weeks,Never,147,177,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0;0|200.401;,217,394,"It opens with a couple of minutes of epic drone footage of absolutely gorgeous landscape in Iceland, with an emphasis on one river and waterfall, then concludes with a minute or so of nice, though more mundane, footage of driving from the POV of a camera on the dashboard. ",Somewhat Positive,"The subject matter is gorgeous, but the cuts between shot segments were somewhat abrupt.",215,609,15,624,Somewhat Positive,Strongly Favors,Somewhat Likely,The link in the video description appears to be an Amazon Affiliate link.,92,716,The creator who posted the link will receive a percentage of the purchase price when anyone uses the link to purchase the drone (or other linked item). ,143,859,43,902,1965,Male,Associate's Degree,"$50,000 to $74,999",17,919
575,78,78,3,5,No,No,No,No,Yes,No,Less Often,Never,Never,Less Often,Several Times A Day,Never,Never,Never,Never,Never,Never,Never,81,159,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.006000041961669922;0|220.721;,243,402,Jordan was reviewing a Crosley record player. He was going over the main features of the player and what he thinks about it.,Extremely Positive,Jordan seemed to give a truly honest appraisal of the product. He was easy to listen to and seemed to convey a true desire to inform the listener. He made me care about the product..,343,745,36,781,Somewhat Positive,Strongly Favors,Somewhat Likely,He has a link to the products information on Amazon. And he seems to be promoting the product (and other products) in his video.,201,982,It means that he is being compensated for promoting products and guiding people to websites affiliated with said products.,163,1145,69,1214,1964,Female,Some College,"Less than $25,000",42,1256
576,91,91,7,5,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,A Few Times A Week,Less Often,Every Few Weeks,Every Few Weeks,Never,Every Few Weeks,Less Often,Never,Never,Never,Never,108,199,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.05756254196166992;3|40.141;1|40.45333314550476;3|79.581;1|79.6018542;3|89.561;1|89.66120822752074;3|99.571;1|99.67993766593933;3|141.551;2|141.571;1|141.59272938692015;3|167.441;1|167.46958322752076;3|175.351;1|175.518;3|187.221;1|187.37320824850158;3|202.421;1|202.44064572752075;0|220.721;,420,619,It is showing a record player the commentator of the video had bought. Overall he likes it except for the power cord not fitting in the storage box it comes with. It is a very compact record player but cant be battery operated.,Somewhat Positive,seemed nice if they could jusy have a cord that stores easily and if it could convert to battery operated like an old style boom box.,241,860,65,925,Somewhat Negative,Strongly Favors,Extremely Likely,I had wondered when the man mentioned the link in the video.It just seems too much for me to trust him.,175,1100,it means he is doing it just for money,33,1133,30,1163,1964,Female,Some College,"$150,000 or more",31,1194
